action_id,target_company,acquirer_company
84,ICICIBANK,SBIN
85,HDFCBANK,HDFCBANK
86,WIPRO,ICICIBANK
87,RELIANCE,ICICIBANK
88,HDFCBANK,INFY
89,AXISBANK,TCS
90,SBIN,HDFCBANK
91,RELIANCE,HDFCBANK
92,ICICIBANK,INFY
93,ICICIBANK,HDFCBANK
94,HDFCBANK,SBIN
95,WIPRO,AXISBANK
96,WIPRO,SBIN
97,INFY,SBIN
98,TCS,INFY
99,AXISBANK,INFY
100,TCS,ICICIBANK
101,HDFCBANK,HDFCBANK
102,ICICIBANK,RELIANCE
103,AXISBANK,HDFCBANK
104,RELIANCE,AXISBANK
105,ICICIBANK,SBIN
106,INFY,WIPRO
107,INFY,WIPRO
108,RELIANCE,SBIN
109,SBIN,WIPRO
110,ICICIBANK,INFY
111,TCS,ICICIBANK
112,AXISBANK,AXISBANK
113,ICICIBANK,WIPRO
114,SBIN,SBIN
115,AXISBANK,AXISBANK
116,ICICIBANK,SBIN
117,HDFCBANK,AXISBANK
118,INFY,RELIANCE
119,INFY,WIPRO
120,INFY,WIPRO
121,SBIN,RELIANCE
122,SBIN,RELIANCE
123,SBIN,ICICIBANK
124,TCS,HDFCBANK
125,TCS,INFY
126,ICICIBANK,RELIANCE
127,SBIN,SBIN
128,RELIANCE,SBIN
129,RELIANCE,TCS
130,TCS,RELIANCE
131,SBIN,AXISBANK
132,TCS,AXISBANK
133,TCS,TCS
134,INFY,INFY
135,TCS,RELIANCE
136,RELIANCE,RELIANCE
137,SBIN,AXISBANK
138,HDFCBANK,HDFCBANK
139,AXISBANK,AXISBANK
140,TCS,TCS
141,TCS,AXISBANK
142,ICICIBANK,ICICIBANK
143,AXISBANK,TCS
144,RELIANCE,INFY
145,INFY,AXISBANK
146,AXISBANK,RELIANCE
147,ICICIBANK,TCS
148,RELIANCE,SBIN
149,RELIANCE,TCS
150,SBIN,INFY
151,RELIANCE,INFY
152,RELIANCE,WIPRO
153,SBIN,TCS
154,INFY,WIPRO
155,RELIANCE,INFY
156,HDFCBANK,HDFCBANK
157,SBIN,HDFCBANK
158,SBIN,SBIN
159,RELIANCE,INFY
160,TCS,INFY
161,AXISBANK,ICICIBANK
162,HDFCBANK,RELIANCE
163,WIPRO,AXISBANK
164,ICICIBANK,RELIANCE
165,INFY,SBIN
166,SBIN,INFY
167,RELIANCE,RELIANCE
168,HDFCBANK,RELIANCE
169,TCS,TCS
170,INFY,RELIANCE
171,TCS,HDFCBANK
172,ICICIBANK,SBIN
173,TCS,TCS
174,WIPRO,INFY
175,AXISBANK,AXISBANK
176,ICICIBANK,RELIANCE
177,AXISBANK,RELIANCE
178,INFY,ICICIBANK
179,TCS,AXISBANK
180,HDFCBANK,SBIN
181,INFY,TCS
182,AXISBANK,AXISBANK
183,HDFCBANK,AXISBANK
184,AXISBANK,INFY
185,INFY,AXISBANK
186,ICICIBANK,RELIANCE
187,RELIANCE,ICICIBANK
188,RELIANCE,WIPRO
189,AXISBANK,HDFCBANK
190,AXISBANK,TCS
191,TCS,SBIN
192,HDFCBANK,AXISBANK
193,WIPRO,WIPRO
194,ICICIBANK,HDFCBANK
195,ICICIBANK,TCS
196,TCS,SBIN
197,TCS,TCS
198,HDFCBANK,WIPRO
199,WIPRO,HDFCBANK
200,TCS,WIPRO
201,INFY,SBIN
202,HDFCBANK,AXISBANK
203,SBIN,TCS
204,INFY,ICICIBANK
205,INFY,ICICIBANK
206,RELIANCE,TCS
207,SBIN,RELIANCE
208,TCS,TCS
209,INFY,AXISBANK
210,HDFCBANK,SBIN
211,HDFCBANK,RELIANCE
212,RELIANCE,SBIN
213,HDFCBANK,INFY
214,WIPRO,AXISBANK
215,WIPRO,INFY
216,RELIANCE,INFY
217,WIPRO,HDFCBANK
218,WIPRO,AXISBANK
219,SBIN,ICICIBANK
220,HDFCBANK,HDFCBANK
221,WIPRO,SBIN
222,HDFCBANK,HDFCBANK
223,ICICIBANK,ICICIBANK
224,SBIN,SBIN
225,ICICIBANK,SBIN
226,TCS,ICICIBANK
227,AXISBANK,INFY
228,AXISBANK,SBIN
229,WIPRO,TCS
230,WIPRO,RELIANCE
231,WIPRO,INFY
232,ICICIBANK,ICICIBANK
233,ICICIBANK,ICICIBANK
234,TCS,RELIANCE
235,HDFCBANK,INFY
236,SBIN,RELIANCE
237,HDFCBANK,HDFCBANK
238,RELIANCE,HDFCBANK
239,RELIANCE,SBIN
240,AXISBANK,INFY
241,WIPRO,AXISBANK
242,TCS,RELIANCE
243,SBIN,ICICIBANK
244,TCS,WIPRO
245,SBIN,TCS
246,WIPRO,ICICIBANK
247,INFY,ICICIBANK
248,SBIN,RELIANCE
249,ICICIBANK,SBIN
250,SBIN,AXISBANK
251,ICICIBANK,WIPRO
252,RELIANCE,INFY
253,HDFCBANK,ICICIBANK
254,WIPRO,HDFCBANK
255,HDFCBANK,ICICIBANK
256,RELIANCE,TCS
257,INFY,AXISBANK
258,HDFCBANK,TCS
259,INFY,INFY
260,HDFCBANK,AXISBANK
261,RELIANCE,TCS
262,RELIANCE,RELIANCE
263,AXISBANK,AXISBANK
264,ICICIBANK,TCS
265,RELIANCE,WIPRO
266,TCS,INFY
267,WIPRO,ICICIBANK
268,RELIANCE,AXISBANK
269,RELIANCE,RELIANCE
270,WIPRO,AXISBANK
271,INFY,WIPRO
272,TCS,RELIANCE
273,SBIN,INFY
274,TCS,SBIN
275,TCS,SBIN
276,AXISBANK,SBIN
277,RELIANCE,RELIANCE
278,TCS,TCS
279,ICICIBANK,TCS
280,TCS,HDFCBANK
281,ICICIBANK,AXISBANK
282,INFY,SBIN
283,WIPRO,AXISBANK
284,ICICIBANK,RELIANCE
285,ICICIBANK,TCS
286,ICICIBANK,SBIN
287,SBIN,AXISBANK
288,ICICIBANK,TCS
289,RELIANCE,INFY
290,SBIN,SBIN
291,TCS,HDFCBANK
292,TCS,AXISBANK
293,TCS,WIPRO
294,ICICIBANK,RELIANCE
295,ICICIBANK,ICICIBANK
296,WIPRO,SBIN
297,ICICIBANK,RELIANCE
298,AXISBANK,INFY
299,TCS,WIPRO
300,WIPRO,ICICIBANK
301,RELIANCE,INFY
302,TCS,INFY
303,WIPRO,HDFCBANK
304,RELIANCE,SBIN
305,RELIANCE,RELIANCE
306,HDFCBANK,WIPRO
307,ICICIBANK,WIPRO
308,RELIANCE,SBIN
309,AXISBANK,ICICIBANK
310,HDFCBANK,ICICIBANK
311,TCS,SBIN
312,ICICIBANK,WIPRO
313,INFY,RELIANCE
314,RELIANCE,RELIANCE
315,AXISBANK,WIPRO
316,WIPRO,INFY
317,TCS,TCS
318,TCS,TCS
319,TCS,TCS
320,INFY,TCS
321,HDFCBANK,ICICIBANK
322,ICICIBANK,SBIN
323,WIPRO,HDFCBANK
324,SBIN,INFY
325,TCS,INFY
326,ICICIBANK,INFY
327,TCS,SBIN
328,INFY,ICICIBANK
329,INFY,HDFCBANK
330,AXISBANK,WIPRO
331,SBIN,ICICIBANK
332,WIPRO,TCS
333,TCS,TCS
334,SBIN,ICICIBANK
335,WIPRO,ICICIBANK
336,TCS,WIPRO
337,HDFCBANK,INFY
338,AXISBANK,ICICIBANK
339,AXISBANK,ICICIBANK
340,INFY,RELIANCE
341,SBIN,WIPRO
342,AXISBANK,WIPRO
343,RELIANCE,AXISBANK
344,INFY,SBIN
345,HDFCBANK,HDFCBANK
346,WIPRO,WIPRO
347,AXISBANK,SBIN
348,INFY,RELIANCE
349,WIPRO,SBIN
350,WIPRO,RELIANCE
351,SBIN,RELIANCE
352,INFY,RELIANCE
353,SBIN,INFY
354,AXISBANK,TCS
355,HDFCBANK,HDFCBANK
356,HDFCBANK,HDFCBANK
357,AXISBANK,HDFCBANK
358,ICICIBANK,HDFCBANK
359,HDFCBANK,SBIN
360,RELIANCE,AXISBANK
361,AXISBANK,HDFCBANK
362,RELIANCE,HDFCBANK
363,ICICIBANK,SBIN
364,RELIANCE,INFY
365,ICICIBANK,WIPRO
366,WIPRO,INFY
367,INFY,WIPRO
368,WIPRO,RELIANCE
369,HDFCBANK,HDFCBANK
370,TCS,INFY
371,WIPRO,ICICIBANK
372,AXISBANK,INFY
373,RELIANCE,TCS
374,HDFCBANK,RELIANCE
375,TCS,SBIN
376,ICICIBANK,SBIN
377,WIPRO,SBIN
378,TCS,INFY
379,SBIN,SBIN
380,ICICIBANK,WIPRO
381,ICICIBANK,ICICIBANK
382,ICICIBANK,AXISBANK
383,RELIANCE,WIPRO
384,HDFCBANK,HDFCBANK
385,INFY,TCS
386,WIPRO,ICICIBANK
387,HDFCBANK,TCS
388,WIPRO,ICICIBANK
389,SBIN,TCS
390,INFY,AXISBANK
391,WIPRO,INFY
392,ICICIBANK,AXISBANK
393,AXISBANK,WIPRO
394,HDFCBANK,ICICIBANK
395,ICICIBANK,TCS
396,WIPRO,INFY
397,INFY,SBIN
398,RELIANCE,WIPRO
399,HDFCBANK,RELIANCE
400,AXISBANK,AXISBANK
401,INFY,INFY
402,WIPRO,INFY
403,WIPRO,HDFCBANK
404,WIPRO,RELIANCE
405,HDFCBANK,INFY
406,RELIANCE,TCS
407,RELIANCE,RELIANCE
408,HDFCBANK,TCS
409,SBIN,RELIANCE
410,WIPRO,AXISBANK
411,AXISBANK,INFY
412,HDFCBANK,HDFCBANK
413,SBIN,INFY
414,TCS,SBIN
415,RELIANCE,HDFCBANK
416,INFY,AXISBANK
417,RELIANCE,TCS
418,TCS,AXISBANK
419,ICICIBANK,SBIN
420,AXISBANK,ICICIBANK
421,INFY,ICICIBANK
422,TCS,AXISBANK
423,RELIANCE,AXISBANK
424,RELIANCE,AXISBANK
425,SBIN,AXISBANK
426,TCS,TCS
427,SBIN,RELIANCE
428,HDFCBANK,AXISBANK
429,AXISBANK,HDFCBANK
430,TCS,ICICIBANK
431,HDFCBANK,WIPRO
432,WIPRO,HDFCBANK
433,ICICIBANK,ICICIBANK
434,RELIANCE,HDFCBANK
435,AXISBANK,WIPRO
436,WIPRO,RELIANCE
437,TCS,AXISBANK
438,TCS,ICICIBANK
439,AXISBANK,ICICIBANK
440,INFY,HDFCBANK
441,TCS,TCS
442,HDFCBANK,INFY
443,AXISBANK,HDFCBANK
444,RELIANCE,INFY
445,WIPRO,RELIANCE
446,WIPRO,ICICIBANK
447,ICICIBANK,SBIN
448,ICICIBANK,AXISBANK
449,RELIANCE,TCS
450,ICICIBANK,WIPRO
451,AXISBANK,INFY
452,RELIANCE,SBIN
453,AXISBANK,AXISBANK
454,AXISBANK,WIPRO
455,SBIN,RELIANCE
456,HDFCBANK,SBIN
457,WIPRO,RELIANCE
458,INFY,RELIANCE
459,TCS,TCS
460,AXISBANK,SBIN
461,ICICIBANK,INFY
462,HDFCBANK,TCS
463,INFY,SBIN
464,SBIN,AXISBANK
465,WIPRO,SBIN
466,AXISBANK,TCS
467,TCS,RELIANCE
468,WIPRO,WIPRO
469,WIPRO,RELIANCE
470,SBIN,SBIN
471,SBIN,TCS
472,HDFCBANK,SBIN
473,ICICIBANK,RELIANCE
474,RELIANCE,AXISBANK
475,HDFCBANK,TCS
476,TCS,AXISBANK
477,AXISBANK,HDFCBANK
478,SBIN,RELIANCE
479,INFY,RELIANCE
480,AXISBANK,RELIANCE
481,SBIN,RELIANCE
482,ICICIBANK,SBIN
483,TCS,INFY
484,HDFCBANK,WIPRO
485,AXISBANK,TCS
486,INFY,AXISBANK
487,ICICIBANK,TCS
488,HDFCBANK,ICICIBANK
489,TCS,TCS
490,SBIN,HDFCBANK
491,TCS,WIPRO
492,TCS,ICICIBANK
493,TCS,RELIANCE
494,RELIANCE,SBIN
495,SBIN,HDFCBANK
496,AXISBANK,HDFCBANK
497,RELIANCE,RELIANCE
498,HDFCBANK,ICICIBANK
499,TCS,HDFCBANK
500,TCS,ICICIBANK
501,HDFCBANK,WIPRO
502,RELIANCE,INFY
503,AXISBANK,TCS
504,INFY,AXISBANK
505,INFY,ICICIBANK
506,RELIANCE,INFY
507,INFY,AXISBANK
508,WIPRO,SBIN
509,INFY,SBIN
510,ICICIBANK,RELIANCE
511,HDFCBANK,TCS
512,AXISBANK,WIPRO
513,INFY,WIPRO
514,SBIN,RELIANCE
515,INFY,RELIANCE
516,SBIN,TCS
517,RELIANCE,AXISBANK
518,RELIANCE,AXISBANK
519,AXISBANK,ICICIBANK
520,TCS,AXISBANK
521,TCS,SBIN
522,HDFCBANK,ICICIBANK
523,WIPRO,INFY
524,HDFCBANK,ICICIBANK
525,WIPRO,SBIN
526,WIPRO,WIPRO
527,INFY,WIPRO
528,INFY,ICICIBANK
529,RELIANCE,SBIN
530,TCS,RELIANCE
531,RELIANCE,AXISBANK
532,TCS,HDFCBANK
533,INFY,HDFCBANK
534,WIPRO,INFY
535,AXISBANK,ICICIBANK
536,INFY,HDFCBANK
537,SBIN,INFY
538,INFY,ICICIBANK
539,INFY,AXISBANK
540,WIPRO,TCS
541,RELIANCE,RELIANCE
542,TCS,SBIN
543,ICICIBANK,RELIANCE
544,SBIN,SBIN
545,WIPRO,AXISBANK
546,AXISBANK,HDFCBANK
547,RELIANCE,ICICIBANK
548,TCS,AXISBANK
549,ICICIBANK,HDFCBANK
550,TCS,INFY
551,INFY,AXISBANK
552,WIPRO,AXISBANK
553,TCS,HDFCBANK
554,WIPRO,TCS
555,TCS,ICICIBANK
556,HDFCBANK,WIPRO
557,SBIN,HDFCBANK
558,RELIANCE,TCS
559,AXISBANK,ICICIBANK
560,RELIANCE,TCS
561,SBIN,WIPRO
562,TCS,AXISBANK
563,TCS,AXISBANK
564,RELIANCE,SBIN
565,ICICIBANK,RELIANCE
566,TCS,HDFCBANK
567,TCS,ICICIBANK
568,AXISBANK,RELIANCE
569,INFY,HDFCBANK
570,WIPRO,HDFCBANK
571,ICICIBANK,ICICIBANK
572,INFY,TCS
573,SBIN,HDFCBANK
574,ICICIBANK,RELIANCE
575,WIPRO,INFY
576,INFY,WIPRO
577,ICICIBANK,RELIANCE
578,ICICIBANK,TCS
579,WIPRO,AXISBANK
580,SBIN,ICICIBANK
581,TCS,HDFCBANK
582,AXISBANK,AXISBANK
583,ICICIBANK,ICICIBANK
584,ICICIBANK,AXISBANK
585,INFY,SBIN
586,INFY,HDFCBANK
587,AXISBANK,WIPRO
588,ICICIBANK,ICICIBANK
589,WIPRO,RELIANCE
590,RELIANCE,RELIANCE
591,AXISBANK,ICICIBANK
592,INFY,WIPRO
593,INFY,AXISBANK
594,INFY,AXISBANK
595,HDFCBANK,HDFCBANK
596,HDFCBANK,INFY
597,WIPRO,HDFCBANK
598,HDFCBANK,RELIANCE
599,TCS,INFY
600,INFY,ICICIBANK
601,INFY,WIPRO
602,TCS,TCS
603,RELIANCE,TCS
604,AXISBANK,HDFCBANK
605,WIPRO,TCS
606,HDFCBANK,AXISBANK
607,HDFCBANK,SBIN
608,HDFCBANK,TCS
609,WIPRO,RELIANCE
610,SBIN,HDFCBANK
611,SBIN,ICICIBANK
612,TCS,RELIANCE
613,WIPRO,HDFCBANK
614,AXISBANK,HDFCBANK
615,AXISBANK,RELIANCE
616,RELIANCE,HDFCBANK
617,AXISBANK,SBIN
618,WIPRO,SBIN
619,SBIN,SBIN
620,TCS,INFY
621,SBIN,AXISBANK
622,HDFCBANK,ICICIBANK
623,WIPRO,INFY
624,TCS,WIPRO
625,HDFCBANK,ICICIBANK
626,WIPRO,AXISBANK
627,ICICIBANK,RELIANCE
628,TCS,RELIANCE
629,TCS,RELIANCE
630,TCS,ICICIBANK
631,INFY,AXISBANK
632,WIPRO,TCS
633,TCS,HDFCBANK
634,AXISBANK,INFY
635,WIPRO,RELIANCE
636,TCS,ICICIBANK
637,ICICIBANK,TCS
638,ICICIBANK,HDFCBANK
639,AXISBANK,RELIANCE
640,HDFCBANK,ICICIBANK
641,TCS,INFY
642,TCS,TCS
643,RELIANCE,RELIANCE
644,HDFCBANK,HDFCBANK
645,RELIANCE,INFY
646,RELIANCE,AXISBANK
647,HDFCBANK,RELIANCE
648,RELIANCE,TCS
649,WIPRO,TCS
650,TCS,RELIANCE
651,SBIN,INFY
652,SBIN,INFY
653,INFY,TCS
654,WIPRO,ICICIBANK
655,ICICIBANK,RELIANCE
656,AXISBANK,WIPRO
657,INFY,RELIANCE
658,AXISBANK,AXISBANK
659,RELIANCE,RELIANCE
660,AXISBANK,TCS
661,WIPRO,TCS
662,INFY,RELIANCE
663,AXISBANK,ICICIBANK
664,HDFCBANK,HDFCBANK
665,HDFCBANK,ICICIBANK
666,SBIN,RELIANCE
667,HDFCBANK,HDFCBANK
668,WIPRO,WIPRO
669,TCS,RELIANCE
670,INFY,INFY
671,INFY,ICICIBANK
672,AXISBANK,RELIANCE
673,HDFCBANK,TCS
674,AXISBANK,HDFCBANK
675,RELIANCE,SBIN
676,TCS,ICICIBANK
677,AXISBANK,TCS
678,TCS,AXISBANK
679,TCS,INFY
680,AXISBANK,INFY
681,HDFCBANK,ICICIBANK
682,INFY,ICICIBANK
683,AXISBANK,ICICIBANK
684,SBIN,TCS
685,WIPRO,INFY
686,SBIN,TCS
687,HDFCBANK,TCS
688,HDFCBANK,HDFCBANK
689,ICICIBANK,SBIN
690,SBIN,ICICIBANK
691,WIPRO,RELIANCE
692,RELIANCE,RELIANCE
693,WIPRO,INFY
694,RELIANCE,RELIANCE
695,RELIANCE,WIPRO
696,HDFCBANK,HDFCBANK
697,RELIANCE,RELIANCE
698,WIPRO,WIPRO
699,ICICIBANK,ICICIBANK
700,TCS,HDFCBANK
701,AXISBANK,HDFCBANK
702,INFY,INFY
703,RELIANCE,WIPRO
704,TCS,AXISBANK
705,TCS,TCS
706,SBIN,SBIN
707,AXISBANK,RELIANCE
708,ICICIBANK,TCS
709,ICICIBANK,WIPRO
710,INFY,TCS
711,INFY,HDFCBANK
712,INFY,AXISBANK
713,ICICIBANK,ICICIBANK
714,AXISBANK,INFY
715,ICICIBANK,WIPRO
716,INFY,SBIN
717,AXISBANK,ICICIBANK
718,WIPRO,INFY
719,WIPRO,SBIN
720,INFY,AXISBANK
721,WIPRO,WIPRO
722,INFY,INFY
723,RELIANCE,WIPRO
724,AXISBANK,ICICIBANK
725,RELIANCE,WIPRO
726,TCS,SBIN
727,AXISBANK,TCS
728,WIPRO,AXISBANK
729,INFY,ICICIBANK
730,SBIN,WIPRO
731,HDFCBANK,TCS
732,ICICIBANK,RELIANCE
733,AXISBANK,WIPRO
734,TCS,RELIANCE
735,AXISBANK,RELIANCE
736,SBIN,SBIN
737,SBIN,RELIANCE
738,WIPRO,HDFCBANK
739,ICICIBANK,ICICIBANK
740,HDFCBANK,TCS
741,TCS,TCS
742,HDFCBANK,AXISBANK
743,SBIN,HDFCBANK
744,AXISBANK,HDFCBANK
745,RELIANCE,ICICIBANK
746,RELIANCE,TCS
747,ICICIBANK,HDFCBANK
748,WIPRO,TCS
749,ICICIBANK,AXISBANK
750,ICICIBANK,TCS
751,TCS,RELIANCE
752,INFY,ICICIBANK
753,ICICIBANK,HDFCBANK
754,INFY,INFY
755,INFY,ICICIBANK
756,HDFCBANK,INFY
757,INFY,WIPRO
758,HDFCBANK,RELIANCE
759,RELIANCE,INFY
760,INFY,WIPRO
761,RELIANCE,TCS
762,AXISBANK,WIPRO
763,INFY,RELIANCE
764,INFY,AXISBANK
765,INFY,RELIANCE
766,HDFCBANK,HDFCBANK
767,INFY,INFY
768,TCS,TCS
769,ICICIBANK,ICICIBANK
770,ICICIBANK,TCS
771,WIPRO,WIPRO
772,TCS,AXISBANK
773,WIPRO,INFY
774,AXISBANK,SBIN
775,SBIN,SBIN
776,HDFCBANK,TCS
777,RELIANCE,RELIANCE
778,RELIANCE,AXISBANK
779,SBIN,RELIANCE
780,RELIANCE,INFY
781,INFY,RELIANCE
782,TCS,HDFCBANK
783,SBIN,WIPRO
784,INFY,ICICIBANK
785,HDFCBANK,AXISBANK
786,HDFCBANK,INFY
787,HDFCBANK,TCS
788,INFY,RELIANCE
789,HDFCBANK,SBIN
790,SBIN,WIPRO
791,WIPRO,INFY
792,RELIANCE,INFY
793,SBIN,TCS
794,ICICIBANK,RELIANCE
795,HDFCBANK,AXISBANK
796,TCS,HDFCBANK
797,TCS,INFY
798,ICICIBANK,ICICIBANK
799,ICICIBANK,ICICIBANK
800,ICICIBANK,WIPRO
801,RELIANCE,WIPRO
802,AXISBANK,WIPRO
803,HDFCBANK,HDFCBANK
804,RELIANCE,INFY
805,SBIN,INFY
806,HDFCBANK,HDFCBANK
807,HDFCBANK,TCS
808,ICICIBANK,RELIANCE
809,AXISBANK,RELIANCE
810,WIPRO,WIPRO
811,TCS,ICICIBANK
812,INFY,HDFCBANK
813,ICICIBANK,AXISBANK
814,ICICIBANK,AXISBANK
815,WIPRO,RELIANCE
816,TCS,RELIANCE
817,AXISBANK,RELIANCE
818,SBIN,AXISBANK
819,HDFCBANK,INFY
820,ICICIBANK,HDFCBANK
821,HDFCBANK,AXISBANK
822,SBIN,HDFCBANK
823,TCS,INFY
824,RELIANCE,INFY
825,INFY,INFY
826,TCS,SBIN
827,SBIN,RELIANCE
828,TCS,WIPRO
829,INFY,INFY
830,AXISBANK,SBIN
831,WIPRO,INFY
832,AXISBANK,AXISBANK
833,RELIANCE,HDFCBANK
834,AXISBANK,RELIANCE
835,INFY,WIPRO
836,ICICIBANK,ICICIBANK
837,INFY,TCS
838,HDFCBANK,TCS
839,INFY,INFY
840,WIPRO,INFY
841,HDFCBANK,TCS
842,AXISBANK,SBIN
843,HDFCBANK,HDFCBANK
844,HDFCBANK,INFY
845,ICICIBANK,TCS
846,SBIN,WIPRO
847,ICICIBANK,INFY
848,INFY,ICICIBANK
849,WIPRO,WIPRO
850,SBIN,WIPRO
851,WIPRO,WIPRO
852,ICICIBANK,RELIANCE
853,ICICIBANK,AXISBANK
854,AXISBANK,WIPRO
855,WIPRO,AXISBANK
856,INFY,INFY
857,HDFCBANK,INFY
858,HDFCBANK,INFY
859,TCS,RELIANCE
860,RELIANCE,HDFCBANK
861,HDFCBANK,WIPRO
862,TCS,AXISBANK
863,INFY,TCS
864,INFY,SBIN
865,HDFCBANK,HDFCBANK
866,SBIN,HDFCBANK
867,RELIANCE,INFY
868,SBIN,INFY
869,ICICIBANK,INFY
870,AXISBANK,ICICIBANK
871,TCS,SBIN
872,SBIN,HDFCBANK
873,SBIN,AXISBANK
874,TCS,HDFCBANK
875,WIPRO,RELIANCE
876,AXISBANK,WIPRO
877,INFY,RELIANCE
878,WIPRO,WIPRO
879,RELIANCE,RELIANCE
880,ICICIBANK,INFY
881,SBIN,ICICIBANK
882,INFY,TCS
883,ICICIBANK,HDFCBANK
884,ICICIBANK,INFY
885,INFY,HDFCBANK
886,INFY,TCS
887,ICICIBANK,RELIANCE
888,INFY,RELIANCE
889,SBIN,TCS
890,TCS,AXISBANK
891,WIPRO,WIPRO
892,WIPRO,SBIN
893,ICICIBANK,SBIN
894,SBIN,HDFCBANK
895,HDFCBANK,ICICIBANK
896,HDFCBANK,SBIN
897,RELIANCE,HDFCBANK
898,WIPRO,ICICIBANK
899,RELIANCE,TCS
900,TCS,INFY
901,AXISBANK,RELIANCE
902,WIPRO,HDFCBANK
903,AXISBANK,TCS
904,INFY,TCS
905,HDFCBANK,TCS
906,INFY,HDFCBANK
907,ICICIBANK,RELIANCE
908,INFY,TCS
909,SBIN,RELIANCE
910,RELIANCE,SBIN
911,RELIANCE,INFY
912,AXISBANK,SBIN
913,HDFCBANK,AXISBANK
914,WIPRO,RELIANCE
915,SBIN,SBIN
916,WIPRO,SBIN
917,INFY,RELIANCE
918,INFY,INFY
919,INFY,RELIANCE
920,TCS,HDFCBANK
921,ICICIBANK,HDFCBANK
922,SBIN,ICICIBANK
923,WIPRO,RELIANCE
924,WIPRO,ICICIBANK
925,ICICIBANK,WIPRO
926,SBIN,AXISBANK
927,ICICIBANK,ICICIBANK
928,AXISBANK,TCS
929,TCS,WIPRO
930,RELIANCE,RELIANCE
931,INFY,AXISBANK
932,INFY,WIPRO
933,AXISBANK,HDFCBANK
934,INFY,RELIANCE
935,INFY,HDFCBANK
936,AXISBANK,RELIANCE
937,SBIN,AXISBANK
938,HDFCBANK,ICICIBANK
939,RELIANCE,HDFCBANK
940,INFY,ICICIBANK
941,SBIN,AXISBANK
942,TCS,AXISBANK
943,HDFCBANK,RELIANCE
944,AXISBANK,WIPRO
945,RELIANCE,ICICIBANK
946,AXISBANK,TCS
947,ICICIBANK,SBIN
948,TCS,HDFCBANK
949,SBIN,RELIANCE
950,HDFCBANK,RELIANCE
951,HDFCBANK,WIPRO
952,ICICIBANK,HDFCBANK
953,WIPRO,AXISBANK
954,AXISBANK,ICICIBANK
955,RELIANCE,WIPRO
956,HDFCBANK,AXISBANK
957,INFY,AXISBANK
958,WIPRO,RELIANCE
959,ICICIBANK,SBIN
960,INFY,AXISBANK
961,RELIANCE,INFY
962,HDFCBANK,WIPRO
963,WIPRO,INFY
964,AXISBANK,INFY
965,SBIN,WIPRO
966,TCS,SBIN
967,WIPRO,AXISBANK
968,ICICIBANK,RELIANCE
969,TCS,INFY
970,WIPRO,HDFCBANK
971,SBIN,RELIANCE
972,SBIN,RELIANCE
973,AXISBANK,WIPRO
974,ICICIBANK,WIPRO
975,HDFCBANK,SBIN
976,INFY,AXISBANK
977,HDFCBANK,WIPRO
978,RELIANCE,HDFCBANK
979,INFY,RELIANCE
980,ICICIBANK,INFY
981,SBIN,TCS
