action_id,dividend_amount,currency
454,6.72,USD
455,15.3,USD
456,47.05,INR
457,45.51,USD
458,19.91,USD
459,32.94,USD
460,46.85,USD
461,43.09,USD
462,30.65,USD
463,14.03,INR
464,30.53,INR
465,45.37,INR
466,5.71,USD
467,18.19,INR
468,36.24,INR
469,43.86,USD
470,29.77,USD
471,14.82,USD
472,15.3,INR
473,43.07,USD
474,9.64,USD
475,33.63,USD
476,43.73,INR
477,40.14,USD
478,48.8,INR
479,31.55,INR
480,8.81,USD
481,22.92,USD
482,26.37,USD
483,25.83,USD
484,49.16,USD
485,19.64,USD
486,14.35,USD
487,30.51,INR
488,36.86,USD
489,24.27,USD
490,33.47,USD
491,31.3,INR
492,8.25,USD
493,36.4,INR
494,32.53,USD
495,9.84,USD
496,49.19,INR
497,18.96,INR
498,46.05,USD
499,34.36,INR
500,36.23,INR
501,7.65,USD
502,21.49,INR
503,41.78,USD
504,35.02,INR
505,36.01,USD
506,30.34,INR
507,9.95,INR
508,34.27,USD
509,7.11,INR
510,35.29,INR
511,6.81,USD
512,28.87,INR
513,17.26,USD
514,46.79,INR
515,8.08,USD
516,25.22,INR
517,47.3,INR
518,18.23,INR
519,36.71,USD
520,9.62,USD
521,24.79,INR
522,20.92,USD
523,39.19,INR
524,12.29,USD
525,8.89,USD
526,39.32,INR
527,35.81,INR
528,20.47,INR
529,41.47,INR
530,9.36,INR
531,11.56,INR
532,48.36,INR
533,28.97,USD
534,18.19,USD
535,19.48,INR
536,39.04,INR
537,39.66,INR
538,44.05,INR
539,46.75,USD
540,45.09,USD
541,18.95,INR
542,17.83,INR
543,10.51,INR
544,30.71,INR
545,32.19,USD
546,38.91,INR
547,6.67,INR
548,25.66,INR
549,22.6,USD
550,22.11,USD
551,6.42,INR
552,8.24,INR
553,33.21,INR
554,29.44,USD
555,13.04,INR
556,26.65,USD
557,29.17,INR
558,14.27,INR
559,9.63,USD
560,32.47,USD
561,48.91,USD
562,21.97,INR
563,20.54,USD
564,12.84,USD
565,30.2,INR
566,43.71,INR
567,16.19,INR
568,33.98,USD
569,19.51,USD
570,18.02,INR
571,39.83,USD
572,24.86,INR
573,17.76,USD
574,10.01,USD
575,19.25,INR
576,31.22,INR
577,18.37,INR
578,47.35,USD
579,29.59,USD
580,27.33,USD
581,17.15,INR
582,36.46,USD
583,34.37,INR
584,49.94,USD
585,34.49,USD
586,11.45,USD
587,49.18,USD
588,37.36,INR
589,15.43,INR
590,8.92,USD
591,25.91,USD
592,30.7,INR
593,32.04,INR
594,34.5,USD
595,12.38,USD
596,46.84,INR
597,23.01,INR
598,33.24,USD
599,21.81,INR
600,8.04,INR
601,11.37,INR
602,23.45,INR
603,37.08,USD
604,14.53,INR
605,24.27,INR
606,28.26,USD
607,20.28,INR
608,21.06,USD
609,10.5,USD
610,14.9,USD
611,32.82,INR
612,13.1,USD
613,44.07,USD
614,21.44,USD
615,47.21,INR
616,15.74,USD
617,7.71,INR
618,32.02,INR
619,21.24,USD
620,25.06,USD
621,19.92,USD
622,31.1,USD
623,24.42,INR
624,29.51,INR
625,29.06,USD
626,19.57,USD
627,33.51,USD
628,14.14,USD
629,38.11,USD
630,12.12,USD
631,24.37,INR
632,19.12,INR
633,47.07,INR
634,6.05,USD
635,46.75,INR
636,26.66,INR
637,26.54,INR
638,25.69,INR
639,34.93,INR
640,47.86,INR
641,28.51,INR
642,15.71,USD
643,46.44,USD
644,37.57,INR
645,43.16,INR
646,42.26,INR
647,32.26,USD
648,46.57,INR
649,10.27,USD
650,10.21,USD
651,10.17,INR
652,9.32,USD
653,43.4,USD
654,12.41,INR
655,5.3,USD
656,44.23,USD
657,29.85,INR
658,44.95,INR
659,45.17,USD
660,17.98,USD
661,34.44,INR
662,26.91,INR
663,36.29,USD
664,37.51,USD
665,8.0,INR
666,22.8,INR
667,6.75,INR
668,9.12,USD
669,42.59,INR
670,33.21,USD
671,43.47,INR
672,9.63,INR
673,15.75,USD
674,21.23,USD
675,13.45,USD
676,49.89,USD
677,41.88,USD
678,20.13,INR
679,28.85,USD
680,49.99,INR
681,20.77,USD
682,25.78,INR
683,12.81,USD
684,21.91,INR
685,21.67,INR
686,13.96,USD
687,35.17,INR
688,22.77,INR
689,7.3,INR
690,15.11,INR
691,43.42,USD
692,35.71,INR
693,9.49,USD
694,34.34,USD
695,40.87,USD
696,31.46,USD
697,7.42,INR
698,30.0,USD
699,18.27,INR
700,45.3,USD
701,35.33,INR
702,17.88,INR
703,15.73,INR
704,44.59,INR
705,42.09,INR
706,30.24,USD
707,36.07,INR
708,30.76,INR
709,36.08,INR
710,13.02,USD
711,6.97,INR
712,42.39,USD
713,5.6,USD
714,38.59,INR
715,14.28,INR
716,19.84,USD
717,38.68,INR
718,25.58,INR
719,7.61,INR
720,44.23,INR
721,27.5,INR
722,34.45,INR
723,18.38,INR
724,38.54,USD
725,40.3,USD
726,44.98,USD
727,29.51,USD
728,25.26,USD
729,45.39,USD
730,8.85,USD
731,21.72,INR
732,6.66,INR
733,48.13,INR
734,14.18,USD
735,42.71,INR
736,21.57,USD
737,27.21,USD
738,23.96,USD
739,22.32,USD
740,12.97,USD
741,7.83,USD
742,36.86,USD
743,43.9,USD
744,33.14,INR
745,7.58,INR
746,29.43,USD
747,5.8,INR
748,21.2,USD
749,18.87,INR
750,28.42,INR
751,20.97,INR
752,17.16,USD
753,40.03,USD
754,29.78,USD
755,35.3,INR
756,47.44,USD
757,22.35,INR
758,21.19,INR
759,21.17,USD
760,23.82,INR
761,45.98,INR
762,28.08,USD
763,47.34,INR
764,36.12,INR
765,39.89,INR
766,34.5,INR
767,14.7,USD
768,17.22,INR
769,35.34,INR
770,7.52,USD
771,23.15,INR
772,11.38,INR
773,14.29,USD
774,15.67,INR
775,41.48,USD
776,39.38,USD
777,41.15,USD
778,37.06,INR
779,15.9,USD
780,16.65,USD
781,27.21,USD
782,23.51,USD
783,11.15,INR
784,41.12,USD
785,27.4,USD
786,27.31,USD
787,28.71,USD
788,29.98,INR
789,7.71,INR
790,16.1,INR
791,27.7,USD
792,34.45,USD
793,19.73,USD
794,5.09,USD
795,41.34,USD
796,11.19,USD
797,48.68,USD
798,45.72,INR
799,13.42,USD
800,10.02,USD
801,32.21,USD
802,18.62,USD
803,18.78,INR
804,46.31,INR
805,24.77,USD
806,39.85,USD
807,46.52,INR
808,20.58,USD
809,42.24,INR
810,17.72,INR
811,16.98,INR
812,22.94,USD
813,36.33,USD
814,16.21,INR
815,38.89,INR
816,16.12,INR
817,8.62,USD
818,8.67,USD
819,15.41,USD
820,22.13,INR
821,37.67,USD
822,8.5,USD
823,27.26,USD
824,20.62,USD
825,45.07,USD
826,30.18,USD
827,26.01,INR
828,22.96,INR
829,25.77,INR
830,20.12,USD
831,11.24,USD
832,34.29,USD
833,43.52,INR
834,9.09,USD
835,24.24,USD
836,15.52,INR
837,40.51,USD
838,49.25,USD
839,33.21,INR
840,42.65,USD
841,13.31,INR
842,16.8,USD
843,22.89,USD
844,24.44,INR
845,31.6,INR
846,29.19,INR
847,38.62,INR
848,42.0,USD
849,44.02,INR
850,10.43,INR
851,41.89,INR
852,30.43,INR
853,41.07,USD
854,9.48,USD
855,23.67,USD
856,13.34,INR
857,44.86,USD
858,40.56,USD
859,29.03,INR
860,41.36,INR
861,25.82,INR
862,8.07,USD
863,24.08,USD
864,33.01,USD
865,21.42,USD
866,20.3,INR
867,41.64,USD
868,25.41,INR
869,36.44,USD
870,5.36,INR
871,25.76,USD
872,24.1,USD
873,15.95,USD
874,7.26,INR
875,13.94,USD
876,38.38,USD
877,48.73,INR
878,23.86,INR
879,39.6,USD
880,13.97,USD
881,34.18,USD
882,49.37,INR
883,33.86,INR
884,37.16,USD
885,9.01,INR
886,15.62,USD
887,32.59,INR
888,5.02,INR
889,33.64,INR
890,43.38,INR
891,12.25,INR
892,27.02,INR
893,16.87,USD
894,21.12,USD
895,32.97,INR
896,45.88,USD
897,30.17,USD
898,20.65,USD
899,45.07,INR
900,27.92,USD
901,48.28,USD
902,32.54,INR
903,48.52,USD
904,22.67,USD
905,25.16,INR
906,40.38,INR
907,35.5,USD
908,8.64,INR
909,14.64,USD
910,22.03,USD
911,38.11,INR
912,40.62,USD
913,32.5,USD
914,46.92,INR
915,46.07,USD
916,38.43,INR
917,38.87,INR
918,12.26,USD
919,17.75,INR
920,39.35,USD
921,34.76,USD
922,40.99,INR
923,36.52,USD
924,43.54,USD
925,47.16,INR
926,36.48,USD
927,48.53,INR
928,7.06,USD
929,39.15,INR
930,26.53,INR
931,16.97,INR
932,16.4,INR
933,44.17,USD
934,30.9,INR
935,10.04,INR
936,48.89,INR
937,30.7,INR
938,17.85,USD
939,8.37,USD
940,11.39,INR
941,27.58,INR
942,8.17,USD
943,23.46,USD
944,18.37,INR
945,28.4,INR
946,45.2,USD
947,32.46,USD
948,37.18,USD
949,36.36,INR
950,30.2,USD
951,31.84,USD
952,16.04,USD
953,47.3,USD
954,20.42,INR
955,5.82,USD
956,24.13,INR
957,22.34,INR
958,33.15,INR
959,28.57,USD
960,24.8,INR
961,30.39,INR
962,48.59,INR
963,14.77,USD
964,30.15,USD
965,48.12,USD
966,7.04,INR
967,6.21,INR
968,35.22,INR
969,24.72,USD
970,36.92,INR
971,7.76,USD
972,13.84,USD
973,48.64,INR
974,26.41,USD
975,29.97,INR
976,36.58,USD
977,39.24,INR
978,40.62,USD
979,43.02,USD
980,38.29,USD
981,8.89,INR
982,14.61,INR
983,32.93,INR
984,31.07,USD
985,41.27,USD
986,39.8,USD
987,30.96,USD
988,22.91,USD
989,39.96,INR
990,8.74,USD
991,7.97,INR
992,20.26,USD
993,21.25,USD
994,10.54,INR
995,15.11,INR
996,30.21,INR
997,17.49,USD
998,20.62,INR
999,47.25,INR
1000,26.54,USD
1001,6.15,USD
1002,30.32,USD
1003,44.95,INR
1004,17.71,USD
1005,49.36,USD
1006,16.8,INR
1007,42.27,USD
1008,34.27,INR
1009,37.26,INR
1010,32.93,INR
1011,19.87,USD
1012,17.49,USD
1013,22.98,INR
1014,30.78,INR
1015,29.77,INR
1016,41.93,INR
1017,16.6,USD
1018,23.48,INR
1019,13.13,INR
1020,40.16,INR
1021,34.14,INR
1022,11.73,USD
1023,48.75,USD
1024,29.71,INR
1025,20.11,INR
1026,35.41,USD
1027,18.78,USD
1028,21.69,USD
1029,18.47,USD
1030,25.77,USD
1031,26.14,INR
1032,44.74,USD
1033,45.52,INR
1034,17.76,INR
1035,7.52,USD
1036,27.13,INR
1037,25.77,INR
1038,24.74,USD
1039,9.06,INR
1040,30.19,INR
1041,35.2,INR
1042,43.3,INR
1043,23.01,INR
1044,24.14,INR
1045,34.45,USD
1046,25.06,USD
1047,40.92,USD
1048,16.73,INR
1049,33.82,INR
1050,34.18,INR
1051,10.72,INR
1052,20.99,USD
1053,38.3,USD
1054,22.67,USD
1055,17.35,INR
1056,36.15,USD
1057,13.72,INR
1058,48.91,USD
1059,8.22,INR
1060,14.2,INR
1061,45.63,USD
1062,17.92,INR
1063,34.76,USD
1064,10.26,INR
1065,27.23,USD
1066,10.66,INR
1067,23.52,INR
1068,30.53,USD
1069,37.55,USD
1070,16.99,INR
1071,26.57,USD
1072,38.17,USD
1073,16.27,USD
1074,38.26,USD
1075,34.49,USD
1076,34.24,USD
1077,41.5,USD
1078,26.91,USD
1079,8.6,INR
1080,31.17,INR
1081,14.55,INR
1082,14.08,USD
1083,21.79,INR
1084,27.19,USD
1085,40.14,USD
1086,10.78,INR
1087,24.67,USD
1088,20.05,INR
1089,40.93,USD
1090,48.16,INR
1091,5.65,INR
1092,32.46,USD
1093,21.0,USD
1094,16.39,INR
1095,10.63,USD
1096,7.29,INR
1097,6.24,USD
1098,35.87,USD
1099,28.39,INR
1100,43.66,USD
1101,31.34,USD
1102,11.74,USD
1103,10.66,INR
1104,31.02,USD
1105,38.05,USD
1106,35.06,USD
1107,26.03,INR
1108,46.57,USD
1109,31.68,INR
1110,10.37,USD
1111,25.76,USD
1112,35.49,USD
1113,15.76,INR
1114,35.25,INR
1115,5.05,INR
1116,15.94,USD
1117,18.35,INR
1118,11.81,INR
1119,8.58,INR
1120,12.35,USD
1121,31.97,USD
1122,37.64,USD
1123,8.32,INR
1124,42.41,USD
1125,26.19,INR
1126,38.12,USD
1127,31.82,INR
1128,26.2,INR
1129,41.02,USD
1130,43.63,INR
1131,34.77,USD
1132,30.77,USD
1133,23.1,INR
1134,18.49,INR
1135,13.19,INR
1136,14.25,USD
1137,16.33,INR
1138,24.27,INR
1139,11.03,USD
1140,45.63,USD
1141,33.21,USD
1142,41.6,USD
1143,18.06,INR
1144,22.71,INR
1145,28.08,USD
1146,26.59,USD
1147,19.81,USD
1148,35.52,INR
1149,30.38,INR
1150,29.55,INR
1151,28.2,USD
1152,17.35,INR
1153,23.19,USD
1154,26.99,USD
1155,19.63,USD
1156,15.7,INR
1157,49.81,INR
1158,49.73,USD
1159,48.45,USD
1160,23.0,INR
1161,39.42,INR
1162,20.47,INR
1163,24.64,USD
1164,38.65,USD
1165,44.38,INR
1166,15.56,INR
1167,44.62,USD
1168,14.02,USD
1169,33.85,INR
1170,29.59,INR
1171,23.1,INR
1172,21.67,INR
1173,48.23,INR
1174,6.87,INR
1175,9.37,INR
1176,13.56,USD
1177,28.38,USD
1178,15.04,INR
1179,11.76,USD
1180,36.64,USD
1181,49.78,USD
1182,30.13,INR
1183,16.53,INR
1184,11.33,USD
1185,22.49,INR
1186,49.21,INR
1187,37.55,USD
1188,38.96,USD
1189,24.41,INR
1190,8.83,USD
1191,38.34,INR
1192,28.62,INR
1193,49.21,INR
1194,30.5,USD
1195,30.07,INR
1196,23.87,INR
1197,8.9,INR
1198,9.19,USD
1199,9.42,INR
1200,17.27,INR
1201,29.71,USD
1202,33.81,INR
1203,45.86,INR
1204,10.38,USD
1205,49.94,INR
1206,26.11,USD
1207,7.78,USD
1208,30.29,INR
1209,6.19,INR
1210,43.91,INR
1211,29.73,USD
1212,38.09,USD
1213,39.42,INR
1214,7.28,INR
1215,47.39,INR
1216,41.55,USD
1217,36.55,USD
1218,7.65,USD
1219,34.0,INR
1220,10.81,USD
1221,38.63,USD
1222,8.33,USD
1223,39.14,USD
1224,25.45,USD
1225,29.12,USD
1226,39.83,INR
1227,16.57,USD
1228,14.01,USD
1229,37.87,USD
1230,49.48,USD
1231,24.49,USD
1232,43.76,USD
1233,41.36,INR
1234,30.56,INR
1235,13.58,INR
1236,42.12,INR
1237,21.94,INR
1238,34.49,INR
1239,34.71,USD
1240,14.69,USD
1241,28.15,INR
1242,7.86,USD
1243,13.35,INR
1244,25.55,USD
1245,40.36,USD
1246,7.68,USD
1247,47.7,USD
1248,15.46,INR
1249,43.57,USD
1250,41.09,USD
1251,46.17,INR
1252,40.66,INR
1253,35.66,USD
1254,18.11,INR
1255,44.62,USD
1256,25.19,USD
1257,40.36,USD
1258,34.16,INR
1259,24.3,INR
1260,35.43,USD
1261,47.6,USD
1262,38.1,USD
1263,14.19,USD
1264,31.59,INR
1265,28.41,INR
1266,44.78,USD
1267,11.73,INR
1268,32.48,USD
1269,45.72,INR
1270,17.06,INR
1271,18.31,USD
1272,39.59,USD
1273,19.92,USD
1274,46.24,USD
1275,20.23,INR
1276,17.5,USD
1277,28.69,INR
1278,10.14,INR
1279,14.17,USD
1280,26.45,INR
1281,9.09,INR
1282,26.29,USD
1283,31.27,USD
1284,40.8,INR
1285,32.69,USD
1286,16.71,INR
1287,45.11,INR
1288,27.65,INR
1289,37.12,USD
1290,29.45,INR
1291,6.28,INR
1292,39.39,USD
1293,30.54,INR
1294,8.0,INR
1295,10.54,INR
1296,34.73,USD
1297,44.16,USD
1298,21.25,USD
1299,23.97,INR
1300,22.57,INR
1301,7.13,INR
1302,22.84,USD
1303,36.68,USD
1304,43.45,USD
1305,6.42,INR
1306,48.67,USD
1307,21.11,INR
1308,37.96,USD
1309,10.56,USD
1310,29.85,USD
1311,11.4,INR
1312,43.98,INR
1313,33.64,INR
1314,10.77,USD
1315,15.13,USD
1316,27.78,USD
1317,20.17,USD
1318,11.3,USD
1319,33.99,INR
1320,27.09,INR
1321,39.81,USD
1322,38.37,INR
1323,15.99,USD
1324,43.41,INR
1325,18.93,USD
1326,31.55,INR
1327,22.06,USD
1328,33.47,USD
1329,19.92,INR
1330,6.38,INR
1331,11.61,INR
1332,15.41,INR
1333,42.55,INR
1334,16.7,USD
1335,34.48,INR
1336,43.44,USD
1337,47.19,INR
1338,15.35,INR
1339,47.85,INR
1340,44.48,INR
1341,15.65,INR
1342,49.76,INR
1343,36.4,INR
1344,11.77,INR
1345,43.93,INR
1346,29.37,INR
1347,38.04,INR
1348,49.13,INR
1349,29.99,USD
1350,23.05,USD
1351,20.18,INR
1352,38.19,USD
1353,34.18,INR
1354,26.34,USD
1355,10.34,USD
1356,26.23,USD
1357,13.44,USD
1358,46.81,INR
1359,41.33,USD
1360,22.25,USD
1361,9.58,INR
1362,33.91,INR
1363,45.88,USD
1364,21.63,USD
1365,34.76,INR
1366,41.27,INR
1367,5.29,USD
1368,26.95,USD
1369,28.23,INR
1370,34.08,INR
1371,26.37,INR
1372,46.14,INR
1373,18.39,USD
1374,40.43,USD
1375,12.17,USD
1376,30.28,INR
1377,26.24,USD
1378,42.13,USD
1379,43.62,INR
1380,49.27,INR
1381,23.71,INR
1382,40.56,USD
1383,13.95,INR
1384,7.84,INR
1385,11.2,USD
1386,10.45,INR
1387,44.51,USD
1388,30.26,INR
1389,6.55,INR
1390,26.75,USD
1391,39.25,INR
1392,37.75,INR
1393,10.0,USD
1394,25.65,INR
1395,30.48,USD
1396,44.2,INR
1397,13.45,USD
1398,16.27,USD
1399,49.52,INR
1400,10.17,INR
1401,38.16,INR
1402,12.38,INR
1403,6.19,USD
1404,25.11,USD
1405,42.33,USD
1406,31.57,INR
1407,41.06,INR
1408,37.45,USD
1409,45.6,USD
1410,17.08,USD
1411,46.76,INR
1412,28.32,USD
1413,37.18,USD
1414,33.42,INR
1415,31.73,USD
1416,37.77,INR
1417,30.85,USD
1418,17.7,INR
1419,29.4,INR
1420,33.63,USD
1421,16.28,INR
1422,37.11,INR
1423,23.73,USD
1424,23.36,USD
1425,29.21,USD
1426,34.1,INR
1427,7.02,USD
1428,17.73,USD
1429,40.68,INR
1430,13.6,USD
1431,45.75,INR
1432,26.4,USD
1433,38.26,INR
1434,8.44,INR
1435,31.44,INR
1436,17.82,USD
1437,38.28,INR
1438,42.06,INR
1439,26.32,INR
1440,22.39,USD
1441,23.53,INR
1442,18.62,INR
1443,5.79,INR
1444,12.7,USD
1445,19.04,INR
1446,9.14,INR
1447,25.85,INR
1448,17.66,USD
1449,23.04,INR
1450,10.55,INR
1451,5.28,USD
1452,42.71,INR
1453,48.19,USD
1454,46.39,USD
1455,22.89,USD
1456,39.19,INR
1457,39.15,INR
1458,7.34,INR
1459,11.63,USD
1460,8.99,USD
1461,5.56,INR
1462,23.09,USD
1463,37.46,USD
1464,11.03,INR
1465,5.56,INR
1466,31.64,INR
1467,12.98,INR
1468,22.76,INR
1469,12.67,USD
1470,8.08,USD
1471,11.34,USD
1472,5.03,INR
1473,17.91,USD
1474,31.43,INR
1475,33.1,USD
1476,36.67,USD
1477,47.25,INR
1478,27.6,INR
1479,43.24,USD
1480,45.45,USD
1481,16.54,USD
1482,16.7,USD
1483,42.12,INR
1484,25.38,USD
1485,39.15,INR
1486,18.72,INR
1487,20.69,USD
1488,35.66,USD
1489,34.19,USD
1490,47.6,INR
1491,35.96,INR
1492,35.32,INR
1493,35.06,USD
1494,14.34,USD
1495,16.41,INR
1496,10.64,INR
1497,17.08,USD
